,name,dimensions,units,description
0,GLAT,"nx,ny",deg,Latitude
1,GLON,"nx,ny",deg,Longitude
2,TOPT,"nx,ny",m,topography height
3,TOPZO,"nx,ny",m,topographic roughness length
4,PI,"nx,ny,nz",J/(kg*K),"PI = Exner function * Cp, where(Cp=1004 J/kg/K in RAMS)
Exner-function = T/Θ =
(p/p00)^(Rd/Cp)"
5,PI0,"nx,ny,nz",J/(kg*K),(INPUT) reference state PI
6,UP,"nx,ny,nz",m/s,Past U (zonal) wind component
7,VP,"nx,ny,nz",m/s,"Past V (meridional) windcomponent"
8,WP,"nx,ny,nz",m/s,"Past W (vertical) windcomponent"
9,PP,"nx,ny,nz",J/(kg*K),"Past perturbation Exnerfunction (PI-prime)"
10,UC,"nx,ny,nz",m/s,Current U wind component
11,VC,"nx,ny,nz",m/s,Current V wind component
12,WC,"nx,ny,nz",m/s,Current W wind component
13,PC,"nx,ny,nz",J/(kg*K),"Current perturbation Exnerfunction (PI-prime)"
14,THP,"nx,ny,nz",K,"Theta-IL, ice-liquid potentialtemperature (prognostic
variable)"
15,RTP,"nx,ny,nz",kg/kg,"Total water mixing ratio (watervapor + condensate)
(prognostic variable)"
16,THETA,"nx,ny,nz",K,"Theta, potential temperature"
17,RV,"nx,ny,nz",kg/kg,Water vapor mixing ratio
18,DN0,"nx,ny,nz",kg/m^3,"reference state air density(Used by both LEAF & SIB)
(LEAF always runs PATCH=1, which is water/ocean)"
19,SOIL_TEXT,"nx,ny,nzg,np",#,dominant soil textural class
20,LEAF_CLASS,"nx,ny,np",#,vegetation class
21,PATCH_AREA,"nx,ny,np",fraction,patch fractional area
22,VEG_NDVIP,"nx,ny,np",#,"past NDVI (NDVI = NormalizedDifference Vegetation Index)"
23,VEG_NDVIC,"nx,ny,np",#,current NDVI
24,VEG_NDVIF,"nx,ny,np",#,"future NDVI(Diagnostic for both)"
25,PATCH_ROUGH,"nx,ny,np",m,net roughness
26,SOIL_ROUGH,"nx,ny,np",m,soil roughness
27,VEG_FRACAREA,"nx,ny,np",fraction,vegetation fractional area
28,VEG_LAI,"nx,ny,np",m^2/m^2,green leaf area index
29,VEG_TAI,"nx,ny,np",m^2/m^2,total leaf area index
30,VEG_ROUGH,"nx,ny,np",m,vegetation roughness length
31,VEG_HEIGHT,"nx,ny,np",m,vegetation / canopy height
32,VEG_ALBEDO,"nx,ny,np",fraction,"vegetation albedo(Prognostic for both)"
